0,249
0,399
0,558
0,935
100,13
100,162
100,184
100,416
100,648
100,689
100,71
100,72
100,818
100,880
100,90
100,923
101,193
101,295
101,369
101,462
101,466
10,147
101,702
101,805
101,841
101,864
101,866
101,903
10,206
102,398
102,489
102,544
102,712
102,972
103,281
103,397
103,412
103,612
103,635
10,366
103,9
103,96
103,987
10,407
104,22
104,425
104,463
104,473
104,683
104,765
104,788
104,911
104,959
105,123
105,271
105,276
105,311
105,315
105,390
105,499
105,594
105,740
105,756
105,999
106,119
106,129
106,169
106,312
106,42
106,471
106,495
106,635
106,794
106,825
106,848
107,183
107,324
107,413
107,437
107,497
107,511
107,600
107,643
107,726
107,776
107,793
107,946
107,999
10,800
108,133
108,215
108,294
108,301
108,384
108,424
108,491
108,493
108,572
108,62
108,71
108,740
108,796
108,837
108,919
108,965
109,212
109,27
109,351
10,939
109,501
109,561
109,629
109,648
109,680
109,897
110,222
110,31
110,365
110,434
110,47
110,6
110,60
110,631
110,786
110,789
110,798
110,87
110,953
111,189
111,211
111,23
111,346
11,140
111,41
111,530
111,535
111,589
111,729
111,809
111,817
111,833
111,915
111,917
111,943
111,946
112,241
112,379
112,398
112,499
112,702
112,737
112,747
112,86
113,192
113,266
113,270
113,337
113,437
113,688
113,704
113,777
113,789
113,832
113,883
113,916
113,997
11,417
114,201
114,357
114,533
114,719
11,473
114,775
114,793
114,837
114,894
115,105
115,128
115,2
115,586
115,819
115,886
116,2
116,338
116,40
116,581
116,994
117,123
117,230
117,29
117,323
117,333
117,371
117,40
117,408
11,747
117,593
117,644
117,772
117,794
117,956
118,262
118,270
118,396
118,511
118,518
118,523
118,579
118,682
118,957
118,967
118,974
11,9
119,158
119,207
119,253
119,693
119,9
120,494
120,698
120,799
120,820
120,908
121,228
12,133
121,49
12,155
121,771
121,873
12,188
121,883
121,980
122,104
122,240
122,317
12,245
122,559
122,760
122,810
12,284
122,892
122,927
122,928
123,163
123,360
123,418
123,551
123,583
123,656
123,741
123,759
123,882
124,129
124,16
12,42
12,436
124,364
12,457
124,696
124,701
124,729
124,973
12,51
125,246
125,341
125,347
125,363
125,410
125,579
125,688
125,864
125,98
126,224
126,255
126,384
126,422
126,490
126,685
126,698
126,822
126,839
126,840
126,880
12,689
126,897
126,994
127,247
127,31
127,324
127,46
127,492
127,6
127,621
127,858
127,925
127,948
128,15
128,239
12,824
128,320
12,840
128,418
128,455
128,719
128,761
12,879
128,799
12,883
128,867
128,908
1,291
129,10
129,179
129,397
129,523
129,691
129,767
12,98
129,850
130,142
130,38
130,443
130,561
130,603
130,662
130,69
130,725
130,728
130,758
130,831
130,833
130,852
130,995
131,145
131,29
131,460
131,517
131,518
131,529
13,168
131,920
132,148
132,175
132,177
132,224
132,389
132,707
132,787
132,885
132,955
13,309
133,161
133,22
133,412
133,413
133,431
133,477
133,649
133,68
133,801
133,868
133,904
133,913
133,926
133,970
134,202
134,393
134,404
134,51
13,452
134,544
1,346
134,675
134,835
135,131
135,183
135,306
135,481
13,558
135,828
135,875
135,881
135,886
135,911
13,609
136,117
136,155
136,194
13,624
136,244
13,625
136,335
136,360
13,638
136,437
136,471
136,51
136,530
136,64
136,719
136,73
136,739
136,776
136,829
136,929
136,947
13,710
137,222
137,329
137,429
137,433
137,437
137,470
137,602
137,66
137,688
13,779
137,814
137,857
138,169
138,189
1,383
138,321
138,471
138,478
138,546
138,58
138,595
138,624
138,634
138,678
13,87
138,814
1,390
139,162
13,923
139,251
139,314
139,335
13,945
139,468
139,499
139,545
139,546
139,574
139,809
140,17
140,177
140,226
1,403
140,351
140,803
140,879
140,954
14,101
141,151
14,120
141,274
141,338
141,467
141,49
141,581
141,605
141,64
141,761
141,832
141,849
141,966
142,160
142,227
14,223
142,250
142,327
142,359
142,382
142,56
142,653
142,979
14,3
143,139
143,151
143,206
143,353
143,385
143,659
14,368
144,188
144,211
144,316
144,914
145,336
145,422
145,465
145,575
145,635
145,64
145,641
145,72
145,73
145,777
145,81
145,874
145,903
14,614
146,210
146,213
146,229
146,295
14,636
14,641
146,438
146,484
14,651
146,600
146,612
146,800
146,81
146,847
147,218
147,369
147,449
147,466
14,753
147,682
147,72
147,747
148,233
148,247
148,253
148,397
148,439
148,575
148,606
148,642
148,663
148,667
148,68
14,87
148,732
148,854
148,956
149,140
149,354
149,388
149,392
149,487
149,604
149,707
149,76
149,952
149,976
150,158
150,165
150,192
150,202
150,219
150,311
150,332
150,340
150,392
150,485
150,636
150,738
150,797
150,848
150,887
151,252
151,297
151,415
151,465
151,531
151,554
151,601
151,643
151,714
151,748
15,217
152,233
152,264
152,343
152,349
1,524
152,454
152,592
152,618
152,679
152,739
152,746
152,795
152,829
152,888
152,904
153,298
153,382
153,45
153,53
153,58
153,627
153,647
153,718
153,856
153,880
153,925
153,942
